"ADDRESS_ID","ADDRESS","VALUE","LAST_TX","TX_ID"
"1","coinbase","-1","04ffff001d0104","2"
"2","12c6DSiU4Rq3P4ZxziKxzrL5LmMBrzjrJX","50","vout","2"
"3","coinbase","-1","04ffff001d010b","3"
"4","1HLoD9E4SDFFPDiYfNYnkBLQ85Y51J3Zb1","50","vout","3"
"5","coinbase","-1","04ffff001d0134","12"
"6","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","50","vout","12"
"7","coinbase","-1","04ffff001d013b","11"
"8","1dyoBoF5vDmPCxwSsUZbbYhA5qjAfBTx9","50","vout","11"
"9","coinbase","-1","04ffff001d010e","4"
"10","1FvzCLoTPGANNjWoUo6jUGuAG3wg1w4YjR","50","vout","4"
"11","coinbase","-1","04ffff001d010c","13"
"12","1PYELM7jXHy5HhatbXGXfRpGrgMMxmpobu","50","vout","13"
"13","coinbase","-1","04ffff001d013c","14"
"14","17abzUBJr7cnqfnxnmznn8W38s9f9EoXiq","50","vout","14"
"15","coinbase","-1","04ffff001d012c","10"
"16","1J6PYEzr4CUoGbnXrELyHszoTSz3wCsCaj","50","vout","10"
"17","coinbase","-1","04ffff001d012b","9"
"18","16LoW7y83wtawMg5XmT4M3Q7EdjjUmenjM","50","vout","9"
"19","coinbase","-1","04ffff001d0136","5"
"20","15yN7NPEpu82sHhB6TzCW5z5aXoamiKeGy","50","vout","5"
"21","coinbase","-1","04ffff001d011a","6"
"22","15ubicBBWFnvoZLT7GiU2qxjRaKJPdkDMG","50","vout","6"
"23","coinbase","-1","04ffff001d0123","8"
"24","1GkQmKAmHtNfnD3LHhTkewJxKHVSta4m2a","50","vout","8"
"25","coinbase","-1","04ffff001d0120","7"
"26","1JfbZRwdDHKZmuiZgYArJZhcuuzuw2HuMu","50","vout","7"
"27","coinbase","-1","04ffff001d0116","15"
"28","1P9VmZogiic8d5ZUVZofrdtzXgtpbG9fop","50","vout","15"
"29","coinbase","-1","04ffff001d0120","28"
"30","15ubjFzmWVvj3TqcpJ1bSsb8joJ6gF6dZa","50","vout","28"
"31","coinbase","-1","04ffff001d010b","27"
"32","16kktFTqsruEfPPphW4YgjktRF28iT8Dby","50","vout","27"
"33","coinbase","-1","04ffff001d0131","25"
"34","1AqC4PhwYf7QAyGBhThcyQCKHJyyyLyAwc","50","vout","25"
"35","coinbase","-1","04ffff001d010a","26"
"36","1CYG7y3fukVLdobqgUtbknwWKUZ5p1HVmV","50","vout","26"
"37","coinbase","-1","04ffff001d013f","23"
"38","1JXLFv719ec3bzTXaSq7vqRFS634LErtJu","50","vout","23"
"39","coinbase","-1","04ffff001d0130","24"
"40","1DmKBaveG8iQA7nTGpRQ1bf8cJ7zqSMCjJ","50","vout","24"
"41","coinbase","-1","04ffff001d0141","21"
"42","15VF3MsCzjHmFQ3wK3SMrTEBTmFY8zhJnU","50","vout","21"
"43","coinbase","-1","04ffff001d0110","22"
"44","1G43MvhzCqRz1ctsQUmgU4LgLuSVdfU557","50","vout","22"
"45","coinbase","-1","04ffff001d0105","20"
"46","1KDnp5D9sEUNGFY2z4JiKhwfbm7zqYp4Bz","50","vout","20"
"47","coinbase","-1","04ffff001d0125","17"
"48","1Fi7o3BKMcT82NVtnMRNqsj8aE5CWbAo4z","50","vout","17"
"49","coinbase","-1","04ffff001d010d","19"
"50","1LPBetDzQ3cYwqQepg4teFwR7FnR1TkMCM","50","vout","19"
"51","coinbase","-1","04ffff001d013e","16"
"52","1DMGtVnRrgZaji7C9noZS3a1QtoaAN2uRG","50","vout","16"
"53","coinbase","-1","04ffff001d0112","18"
"54","1DJkjSqW9cX9XWdU71WX3Aw6s6Mk4C3TtN","50","vout","18"
"55","coinbase","-1","04ffff001d0109","29"
"56","18a3JX7ZZvu5CdaqY33RxzXB3ytEjspsGq","50","vout","29"
"57","coinbase","-1","04ffff001d010d","30"
"58","1GnYgH4V4kHdYEdHwAczRHXwqxdY7xars1","50","vout","30"
"59","coinbase","-1","04ffff001d0136","31"
"60","1Bw7RG9a19SjCNszmXQZhBwe1gEj4Vb2JZ","50","vout","31"
"61","coinbase","-1","04ffff001d0129","32"
"62","1PHB5i7JMEZCKvcjYSQXPbi5oSK8DoJucS","50","vout","32"
"63","coinbase","-1","04ffff001d0121","33"
"64","17x23dNjXJLzGMev6R63uyRhMWP1VHawKc","50","vout","33"
"65","coinbase","-1","04ffff001d014d","34"
"66","16bo8EmUnLJAmtDNavgcs1BQ5rU4YcR9UC","50","vout","34"
"67","coinbase","-1","04ffff001d0150","35"
"68","1NHHWnZKTetjZZfAbVjTS9EHQafdH6xn8a","50","vout","35"
"69","coinbase","-1","04ffff001d0107","36"
"70","1DpSDwF12wX5ogkS2HXabT7iWtCkAqJD9k","50","vout","36"
"71","coinbase","-1","04ffff001d0138","37"
"72","1MKRkcXG7cUb83EGNjK5TSHcKgVjVMTou5","50","vout","37"
"73","coinbase","-1","04ffff001d0109","38"
"74","1KzvBTUbdwNBXiTkzr1msFUtPf7Vu2zLiu","50","vout","38"
"75","coinbase","-1","04ffff001d0116","39"
"76","1Bhq4Uz1Cg8vZLWy5uT3X3Ea3XDSNvkvCM","50","vout","39"
"77","coinbase","-1","04ffff001d0147","40"
"78","1BTsxjF9rXtFvUZ2UFditbeUpohGgKCxUt","50","vout","40"
"79","coinbase","-1","04ffff001d0115","41"
"80","1DnzNm7QC479kSydvzmgb16X2c5GwRVzs1","50","vout","41"
"81","coinbase","-1","04ffff001d0112","45"
"82","1DEwdHYmo8q6AhSHG7UgxEjttNMFdw9e7u","50","vout","45"
"83","coinbase","-1","04ffff001d0124","43"
"84","1BEKzoSq5kTRNhL9ezh8KJ5vt2NzigQV2K","50","vout","43"
"85","coinbase","-1","04ffff001d0130","44"
"86","136g5f3pBidF6q8udL5GGb66CzG7AzBNwv","50","vout","44"
"87","coinbase","-1","04ffff001d0157","42"
"88","1DpJP16GXSht3hJ5DZDumKcwAFqQQVkffN","50","vout","42"
"89","coinbase","-1","04ffff001d011e","46"
"90","1HjE5zRg4eYm7jCHB9oSH5WbyZdH1GE2Ns","50","vout","46"
"91","coinbase","-1","04ffff001d010e","47"
"92","1AQ2m6GH78oLgZYCdueUb4Zjxg1L6BkHZM","50","vout","47"
"93","coinbase","-1","04ffff001d0124","48"
"94","1EDV8iD4cDZbKxZu6UGAPW5i2ytQmR5xoQ","50","vout","48"
"95","coinbase","-1","04ffff001d024e01","49"
"96","1Mdioqy6kR75YvHhf7eqhTsRxoYfQfhbgn","50","vout","49"
"97","coinbase","-1","04ffff001d025601","50"
"98","13F1h7nLa4bgwgvjnRnBYh5cn1kpT4Mo2p","50","vout","50"
"99","coinbase","-1","04ffff001d0109","51"
"100","1JV9ZQX6cCd4YrUtHHQm9iDL6cMxP3oQ3J","50","vout","51"
"101","coinbase","-1","04ffff001d026902","52"
"102","1Kz7UyXbgSxL83hN8jArHqQcE1obqsK1B4","50","vout","52"
"103","coinbase","-1","04ffff001d024f02","53"
"104","1GciAZF9X4HWfwXpTvJWLxrjEDWsLJcZ5J","50","vout","53"
"105","coinbase","-1","04ffff001d025702","54"
"106","1Ami8JxY2Yc1FWuQVnWscron1D2PiWxskP","50","vout","54"
"107","coinbase","-1","04ffff001d027e02","55"
"108","12DjDWvXifrxizvn7rdQdYqrq9jnY6iA4F","50","vout","55"
"109","coinbase","-1","04ffff001d028302","56"
"110","1AUsn9BUs7RaxdPoHuyfDgZ2uQ6kWHRonh","50","vout","56"
"111","coinbase","-1","04ffff001d02b202","57"
"112","1FbaHimqo6FAQbyrnUjiMutgwpocLDw4bS","50","vout","57"
"113","coinbase","-1","04ffff001d027302","58"
"114","1FqZ84KUqEE7qJVRRTauLXYRjt1JfyPo71","50","vout","58"
"115","coinbase","-1","04ffff001d02bb02","59"
"116","1EiMGeZVJ9f3Zuokp4KWj3PQuowZgQXUeM","50","vout","59"
"117","coinbase","-1","04ffff001d02c602","60"
"118","1MqArsr33cxhnpYdsjJApjui1BhnzAwihX","50","vout","60"
"119","coinbase","-1","04ffff001d0116","61"
"120","1PEsXxy7kVSPL3Sqw9q4HPkbM368tGTYcx","50","vout","61"
"121","coinbase","-1","04ffff001d02cc02","62"
"122","1tCYRLM1bAjSy2NrBp5HnLKAx5zprtDkT","50","vout","62"
"123","coinbase","-1","04ffff001d0140","63"
"124","15ATbhqgqxkGen8ZLsb2BEbQzw3ymdzbQ9","50","vout","63"
"125","coinbase","-1","04ffff001d025902","64"
"126","19mRUvwRVueDy7rap4fQDkzz9XUa5rhso1","50","vout","64"
"127","coinbase","-1","04ffff001d028400","65"
"128","1ELmSkQWnqgbBZNzxAZHts3MEYCngqRBeD","50","vout","65"
"129","coinbase","-1","04ffff001d026702","67"
"130","16ucnLgySRLYy2mvBuXFZPZCRM8DoFY46W","50","vout","67"
"131","coinbase","-1","04ffff001d027c02","66"
"132","1LTLwGgVR4ey139PezChWfFWbZnGVCEmym","50","vout","66"
"133","coinbase","-1","04ffff001d022c05","68"
"134","17ysQmqZCWb4WMCXueWfQ7LK9W53GELp9s","50","vout","68"
"135","coinbase","-1","04ffff001d025105","69"
"136","1zL84Kf5T6KKQwTCWZiVoo9GSV57ChdUt","50","vout","69"
"137","coinbase","-1","04ffff001d029b07","70"
"138","1PjPzeprKwrT25AMGEEKWirpbZupk1aHSo","50","vout","70"
"139","coinbase","-1","04ffff001d02b707","71"
"140","1ELnjbTsUWVZFp2rwAXPJs6hxdC7wG99i9","50","vout","71"
"141","coinbase","-1","04ffff001d02a607","72"
"142","1Gx9f19Vzm7hdcZwf36iYdKhR57voQU3j1","50","vout","72"
"143","coinbase","-1","04ffff001d0107","73"
"144","1PsUpBKZJeMkWJcQP1P3ficpVh3XxCzL3o","50","vout","73"
"145","coinbase","-1","04ffff001d010d","74"
"146","1HuNwnDbDbmoYvjz6nwC9U4kwBneFE5ksP","50","vout","74"
"147","coinbase","-1","04ffff001d024101","77"
"148","1JrHnX1BKH7dBLJVm1YqnCaGpsUXD7y6Co","50","vout","77"
"149","coinbase","-1","04ffff001d024301","76"
"150","16c44JhQegiNQmZevfQWscS4SbT1tZ8BGd","50","vout","76"
"151","coinbase","-1","04ffff001d0175","75"
"152","1PyKe5Dokd9T6WMq1Wjc4mZ99v88dCKJWe","50","vout","75"
"153","coinbase","-1","04ffff001d016f","78"
"154","1Dvaq4cde41Bz5KUKbYEjBhHbZVsvSFgV3","50","vout","78"
"155","coinbase","-1","04ffff001d024401","79"
"156","1H44ka896uxwe3mf4m4mntEuZ11F8HA62J","50","vout","79"
"157","coinbase","-1","04ffff001d025501","80"
"158","1NtqVpiCRWACGEgw8KJzF29sDC9t9nWXiw","50","vout","80"
"159","coinbase","-1","04ffff001d0170","81"
"160","13mYtVxjEiEAtvbG3Mfy1NHwsAVVbVLtVi","50","vout","81"
"161","coinbase","-1","04ffff001d027401","85"
"162","1GXheusMrRbndHuPLFMu8PHd6QYN6yBYy7","50","vout","85"
"163","coinbase","-1","04ffff001d025701","83"
